Age,Income,LoanAmount,CreditScore,Married,Education,Gender,Approved
47,248931,5220558,772,Yes,Non-Graduate,Male,1
60,120699,5286085,308,Yes,Non-Graduate,Male,0
33,35385,5356471,462,Yes,Non-Graduate,Female,0
27,174721,5373240,793,No,Graduate,Male,1
62,244872,5376434,830,No,Non-Graduate,Female,1
52,380826,5378229,390,No,Graduate,Male,1
48,355639,5381045,493,No,Graduate,Female,1
22,326063,5418520,806,Yes,Graduate,Male,1
31,344676,5422199,674,No,Graduate,Male,1
43,32213,5430278,538,Yes,Non-Graduate,Female,0
37,49086,5453961,558,Yes,Graduate,Male,0
39,330511,5477977,300,Yes,Non-Graduate,Male,1
54,303173,5516774,709,Yes,Non-Graduate,Female,1
49,272557,5522460,455,No,Graduate,Male,1
23,114913,5526552,367,Yes,Graduate,Male,1
22,397865,5551543,817,No,Graduate,Male,1
53,138542,5554223,827,Yes,Non-Graduate,Male,1
29,89123,5560616,700,Yes,Graduate,Female,0
54,367186,5577768,637,No,Non-Graduate,Female,1
61,275678,5578250,554,No,Non-Graduate,Male,1
21,258657,5621544,607,No,Graduate,Female,0
59,303496,5626467,432,No,Graduate,Female,1
35,122072,5644222,790,No,Graduate,Female,0
51,256403,5653473,737,No,Graduate,Male,1
21,96050,5663278,435,No,Non-Graduate,Male,0
52,28749,5672110,353,No,Graduate,Male,0
21,57792,5718593,426,No,Graduate,Female,0
59,394345,5729347,573,No,Non-Graduate,Male,1
62,344703,5780938,452,No,Graduate,Female,1
49,246090,5790833,692,Yes,Graduate,Female,1
31,55739,5812494,796,No,Non-Graduate,Male,0
54,306848,5815333,368,Yes,Graduate,Female,1
34,240326,5831934,616,Yes,Non-Graduate,Female,1
44,342046,5850445,356,Yes,Non-Graduate,Male,1
58,42486,5878518,548,Yes,Graduate,Female,0
30,158266,5878590,465,No,Graduate,Male,0
37,287750,5881348,506,Yes,Non-Graduate,Female,1
55,186862,5891468,768,No,Non-Graduate,Male,1
36,369345,5894724,320,Yes,Graduate,Female,1
28,367518,5894902,681,Yes,Graduate,Female,1
43,130361,5933808,318,No,Non-Graduate,Female,0
49,242343,5969429,633,No,Non-Graduate,Male,0
40,315156,6007845,501,No,Graduate,Male,1
62,142761,6029676,600,No,Non-Graduate,Male,1
21,41390,6060485,617,Yes,Graduate,Female,0
26,98863,6070297,607,No,Graduate,Male,0
22,287136,6097494,558,No,Graduate,Male,1
40,250246,6112910,377,No,Non-Graduate,Female,0
32,137369,6151018,502,Yes,Non-Graduate,Female,0
61,272515,6151092,500,No,Graduate,Female,1
27,244866,6152453,649,Yes,Graduate,Male,1
37,199949,6160158,537,No,Non-Graduate,Male,1
57,153851,6176197,373,Yes,Graduate,Female,0
57,45464,6201081,479,No,Graduate,Male,0
32,106296,6226618,549,Yes,Graduate,Female,0
24,393403,6253246,679,No,Graduate,Female,1
56,159805,6287609,594,Yes,Non-Graduate,Male,0
49,44502,6347479,599,Yes,Non-Graduate,Female,0
40,371931,6367658,550,Yes,Non-Graduate,Male,1
32,216936,6390798,818,No,Graduate,Male,1
35,339532,6406153,332,No,Graduate,Male,1
39,258366,6426153,432,No,Non-Graduate,Female,1
48,73019,6448505,385,Yes,Non-Graduate,Female,1
34,163424,6452399,402,No,Graduate,Male,0
28,270319,6524329,491,Yes,Graduate,Male,1
31,344401,6526682,328,No,Graduate,Male,1
38,267980,6529453,679,No,Graduate,Male,1
34,209607,6578056,762,Yes,Non-Graduate,Male,1
47,167478,6598209,574,No,Non-Graduate,Male,1
35,172225,6619001,799,Yes,Non-Graduate,Female,1
55,28802,6630661,320,No,Non-Graduate,Female,0
38,218153,6639383,350,Yes,Non-Graduate,Female,1
64,347329,6641430,347,Yes,Graduate,Male,1
24,258188,6643381,655,No,Non-Graduate,Female,1
33,362016,6647056,592,No,Non-Graduate,Male,1
40,100674,6650981,572,No,Graduate,Male,1
42,37118,6666669,516,Yes,Graduate,Male,0
60,190956,6712245,536,No,Non-Graduate,Male,1
31,61139,6735311,637,No,Graduate,Male,0
56,127779,6765631,679,Yes,Graduate,Male,0
48,373699,6770510,697,Yes,Graduate,Female,1
59,161753,6776699,410,Yes,Non-Graduate,Female,0
25,399162,6785996,358,Yes,Non-Graduate,Male,1
58,190824,6793564,825,No,Non-Graduate,Female,1
41,369880,6799177,494,Yes,Graduate,Female,1
44,33682,6810541,816,No,Graduate,Male,0
55,65406,6815751,755,No,Non-Graduate,Male,0
60,266231,6815995,684,No,Graduate,Female,1
32,248506,6856090,351,No,Graduate,Female,0
52,175915,6870184,341,Yes,Non-Graduate,Female,0
36,63822,6873859,495,No,Non-Graduate,Female,0
64,394311,6906525,434,No,Graduate,Male,1
27,49332,6919286,553,No,Graduate,Female,0
45,33440,6920957,826,Yes,Graduate,Male,0
34,21537,6921542,362,Yes,Non-Graduate,Female,0
50,257612,6924128,336,Yes,Non-Graduate,Female,0
45,388615,6974587,483,Yes,Graduate,Male,1
29,290665,6979369,602,Yes,Graduate,Female,1
46,82780,6981631,466,Yes,Non-Graduate,Male,0
49,138686,6995481,538,Yes,Graduate,Male,0
58,55031,6997659,588,No,Graduate,Female,0
37,222210,7022022,316,No,Graduate,Male,0
62,212941,7031982,568,Yes,Non-Graduate,Female,1
56,376427,7036206,434,No,Non-Graduate,Male,1
49,345137,7048170,848,Yes,Non-Graduate,Male,1
55,378766,7068175,566,No,Graduate,Female,1
55,384688,7069559,760,No,Non-Graduate,Male,0
27,347920,7121905,452,No,Graduate,Male,1
31,86985,7133801,847,No,Graduate,Male,1
25,364572,7165738,774,No,Graduate,Female,1
37,173412,7224554,502,Yes,Graduate,Female,1
22,165364,7241445,666,Yes,Non-Graduate,Female,1
24,212154,7243469,372,No,Graduate,Female,1
45,190534,7243646,582,No,Graduate,Male,1
48,123889,7289074,701,No,Graduate,Female,0
30,36304,7300985,667,Yes,Non-Graduate,Male,1
46,259967,7349096,728,Yes,Non-Graduate,Male,1
29,117469,7356585,719,No,Graduate,Female,1
41,353260,7359336,742,Yes,Graduate,Male,1
51,260970,7365554,330,No,Non-Graduate,Male,1
46,241849,7366148,563,Yes,Non-Graduate,Male,1
28,92178,7366505,420,No,Non-Graduate,Male,0
30,266060,7411628,543,No,Non-Graduate,Female,1
60,277137,7427155,444,No,Graduate,Male,0
58,339889,7439174,712,No,Graduate,Male,1
57,288591,7500526,642,No,Graduate,Male,1
59,222268,7501990,789,Yes,Non-Graduate,Male,1
31,40431,7529270,578,No,Non-Graduate,Male,1
47,261249,7537872,730,No,Non-Graduate,Female,1
28,57381,7570116,437,Yes,Graduate,Female,0
55,382990,7576169,756,Yes,Non-Graduate,Female,1
43,291480,7599077,469,Yes,Non-Graduate,Male,1
47,310477,7612495,660,Yes,Non-Graduate,Female,1
41,88369,7671434,703,No,Graduate,Male,0
43,119847,7676001,835,Yes,Graduate,Male,1
41,225123,7689124,387,No,Graduate,Female,1
44,244404,7699969,635,Yes,Non-Graduate,Male,1
26,284053,7714625,462,Yes,Non-Graduate,Female,1
53,123535,7745167,433,No,Graduate,Female,0
53,189898,7745491,445,No,Graduate,Male,0
41,370918,7746085,427,Yes,Graduate,Female,1
37,357530,7750359,412,Yes,Graduate,Male,1
27,185750,7792634,687,Yes,Graduate,Female,1
30,247043,7804087,648,Yes,Non-Graduate,Female,1
28,125433,7823516,795,Yes,Non-Graduate,Female,0
52,360070,7841144,779,Yes,Non-Graduate,Female,1
41,264255,7845958,619,No,Graduate,Male,1
50,77616,7885639,722,Yes,Graduate,Male,0
49,200645,7891317,728,Yes,Graduate,Female,0
36,368594,7897372,413,No,Graduate,Female,1
36,331385,7913797,659,No,Non-Graduate,Female,1
34,211812,7922798,643,Yes,Non-Graduate,Male,1
59,60502,7923614,476,No,Non-Graduate,Male,0
51,178223,7929584,432,No,Non-Graduate,Female,0
33,347936,7955982,606,No,Graduate,Male,1
30,303112,7970135,421,No,Non-Graduate,Male,1
45,335508,8002388,508,Yes,Non-Graduate,Female,1
37,60542,8025648,518,Yes,Graduate,Female,0
48,249408,8068630,496,Yes,Graduate,Male,0
62,376004,8069777,706,No,Non-Graduate,Female,1
40,216106,8106173,480,Yes,Non-Graduate,Female,1
46,137798,8192420,443,No,Non-Graduate,Female,1
45,179815,8224025,496,Yes,Non-Graduate,Female,1
64,120025,8232496,422,No,Non-Graduate,Female,0
53,150193,8247881,357,No,Non-Graduate,Male,0
51,64194,8307530,306,No,Non-Graduate,Female,0
44,297785,8316931,412,Yes,Non-Graduate,Female,1
59,73592,8323264,554,Yes,Graduate,Male,0
53,310373,8325308,618,Yes,Graduate,Female,1
39,384534,8340512,594,Yes,Graduate,Male,1
56,98012,8342715,315,No,Graduate,Female,0
32,208104,8385065,438,Yes,Non-Graduate,Male,1
60,317594,8422054,687,No,Non-Graduate,Male,1
25,262471,8451243,766,Yes,Graduate,Female,1
60,27533,8515089,664,Yes,Non-Graduate,Male,0
38,196284,8546341,833,Yes,Graduate,Female,1
24,269106,8557596,779,No,Non-Graduate,Male,1
24,86381,8559906,617,Yes,Non-Graduate,Female,1
33,280393,8560162,680,No,Graduate,Male,1
41,53085,8577962,505,No,Graduate,Male,0
35,232489,8617964,808,Yes,Graduate,Female,1
58,100428,8633353,508,No,Non-Graduate,Male,0
51,34963,8636686,733,No,Graduate,Male,0
41,162690,8653155,408,Yes,Non-Graduate,Male,0
50,278191,8741896,352,No,Non-Graduate,Male,1
57,63459,8744143,545,No,Graduate,Female,0
47,228137,8745015,460,No,Graduate,Female,1
44,158426,8746857,552,No,Graduate,Male,1
28,226946,8750245,617,Yes,Non-Graduate,Female,0
40,395348,8754047,772,No,Graduate,Male,1
35,377489,8755662,516,No,Graduate,Male,1
26,213946,8772127,774,No,Non-Graduate,Male,0
60,30345,8799784,314,Yes,Non-Graduate,Male,0
29,148027,8884768,831,No,Graduate,Female,1
31,90268,8887241,837,No,Graduate,Male,1
35,51556,8900111,661,No,Graduate,Male,0
64,326450,8914337,692,No,Graduate,Male,1
49,71413,8937377,764,No,Non-Graduate,Female,1
58,252259,8950164,631,Yes,Graduate,Female,1
30,339186,8972292,645,Yes,Graduate,Male,1
52,355863,9047451,719,Yes,Non-Graduate,Female,1
24,191236,9063883,568,No,Graduate,Male,1
33,326604,9080894,479,No,Non-Graduate,Male,1
32,244309,9165359,724,No,Non-Graduate,Female,1
30,363885,9182934,323,Yes,Graduate,Female,1
36,73311,9194874,828,No,Graduate,Female,0
24,163748,9205168,572,No,Graduate,Female,1
40,21468,9215053,365,Yes,Non-Graduate,Female,0
22,120572,9222230,665,No,Graduate,Female,0
53,164401,9264404,762,No,Graduate,Female,0
39,137752,9265180,489,No,Non-Graduate,Female,0
51,38706,9268789,437,Yes,Graduate,Female,0
25,201902,9295773,449,No,Non-Graduate,Male,1
45,214692,9321487,413,No,Graduate,Female,1
30,238980,9333634,670,No,Graduate,Female,1
25,115761,9358148,574,No,Graduate,Male,1
34,377521,9378140,486,Yes,Non-Graduate,Female,1
60,375050,9381520,808,No,Graduate,Male,1
39,159133,9383551,818,No,Graduate,Male,1
36,226555,9405448,672,Yes,Non-Graduate,Male,1
21,308883,9407333,759,No,Non-Graduate,Female,1
25,147904,9450105,680,Yes,Non-Graduate,Female,1
45,55863,9456879,806,Yes,Graduate,Female,1
48,97511,9465545,358,No,Graduate,Male,0
55,371060,9465984,706,No,Graduate,Female,1
44,45938,9469247,698,No,Non-Graduate,Male,0
22,111198,9469412,513,Yes,Non-Graduate,Female,1
47,66015,9506806,394,No,Graduate,Female,0
52,73687,9524440,412,No,Graduate,Female,0
51,39122,9558310,545,Yes,Non-Graduate,Male,0
45,302152,9581226,676,No,Non-Graduate,Male,1
48,39782,9682204,726,No,Graduate,Female,0
33,376144,9685864,698,No,Graduate,Male,1
22,265014,9703533,533,No,Non-Graduate,Female,1
42,47877,9704535,316,No,Graduate,Female,0
43,343117,9709755,671,No,Graduate,Female,1
60,250596,9755693,531,No,Graduate,Male,0
48,30589,9760576,709,No,Graduate,Male,0
23,123002,9765715,441,No,Non-Graduate,Male,0
42,281420,9780488,706,Yes,Graduate,Female,1
22,254507,9798041,313,Yes,Graduate,Male,1
22,390450,9803227,478,No,Non-Graduate,Female,1
34,179484,9828968,337,No,Non-Graduate,Male,0
31,306639,9870685,604,Yes,Graduate,Male,1
41,289992,9895820,486,No,Graduate,Female,1
34,76683,9910154,445,Yes,Graduate,Female,0
59,191277,9939464,574,No,Non-Graduate,Male,0
53,360281,9961767,396,Yes,Graduate,Female,1
23,243354,9970710,406,Yes,Graduate,Female,1
36,305291,9978904,501,Yes,Graduate,Male,1
43,78560,10012457,812,Yes,Non-Graduate,Male,0
32,385088,10029518,333,No,Graduate,Female,1
55,190521,10033293,641,Yes,Non-Graduate,Female,1
36,328479,10034015,725,Yes,Non-Graduate,Male,1
51,289756,10035396,376,Yes,Graduate,Female,1
46,221499,10039521,467,Yes,Graduate,Female,0
33,300752,10059066,675,Yes,Graduate,Male,1
44,46928,10065169,537,No,Graduate,Male,0
43,181679,10092304,311,No,Non-Graduate,Female,0
43,80354,10114587,354,No,Non-Graduate,Male,1
24,368058,10134284,316,Yes,Graduate,Female,1
36,352246,10147641,788,No,Graduate,Female,1
54,183052,10175918,758,No,Graduate,Male,0
